id,label,timeset,componentnumber,modularity_class,eccentricity,betweenesscentrality,harmonicclosnesscentrality,closnesscentrality,eigencentrality,pageranks
John_H_Mosberg,John_H_Mosberg,,0,28,10.0,0.0,0.18736331569664955,0.16817939135077417,0.05491464602943701,0.0012659768704127575
Mile_Margoshes,Mile_Margoshes,,0,28,10.0,0.0,0.18736331569664955,0.16817939135077417,0.05491464602943701,0.0012659768704127575
Victor_Roth,Victor_Roth,,0,28,10.0,0.0,0.18736331569664955,0.16817939135077417,0.05491464602943701,0.0012659768704127575
Herbert_F_Schmelz,Herbert_F_Schmelz,,0,28,9.0,0.006213389580998832,0.2524124464600659,0.2125506072874494,0.34084541731749185,0.0035951292304702153
Ernst_R_Deutsch,Ernst_R_Deutsch,,0,10,7.0,0.04322476191807248,0.2927891156462587,0.24647887323943662,0.5052370386079261,0.0093137647051767
Henry_Heinz_Kreisel,Henry_Heinz_Kreisel,,0,18,8.0,0.01746129194530462,0.27140211640211703,0.23827534039334342,0.2844860978939885,0.0034033656158024114
Heinz_Ulrich_Loewenthal,Heinz_Ulrich_Loewenthal,,0,10,8.0,0.0,0.2183560090702953,0.1978643216080402,0.08797438901506556,0.0011320088928235266
Rudy_Kestler,Rudy_Kestler,,0,10,8.0,0.0017050386755745703,0.22047241118669736,0.19811320754716982,0.09846882489841514,0.002028786232914112
Rudy_Josephson,Rudy_Josephson,,0,10,8.0,0.0,0.2183560090702953,0.1978643216080402,0.08797438901506556,0.0011320088928235266
Peter_Fritz_Heller,Peter_Fritz_Heller,,0,10,8.0,0.006069291082144547,0.2450226757369622,0.21814404432132964,0.15738900788403004,0.0028193621530746464
Paul_Mandl,Paul_Mandl,,0,4,8.0,0.006494657687064254,0.2642328042328048,0.23127753303964757,0.2669928341670496,0.002559559300613412
Gideon_Rosenbleuth,Gideon_Rosenbleuth,,0,17,8.0,0.011657421632703415,0.2634656084656092,0.2326440177252585,0.2403571902504034,0.0026469016914736233
Walter_F_Hitschfeld,Walter_F_Hitschfeld,,0,10,7.0,3.092679956433171E-4,0.25353741496598714,0.22516082916368835,0.24925909532446053,0.0026758312984084386
Paul_Pfalzner,Paul_Pfalzner,,0,4,7.0,0.050465810685396455,0.2986545729402878,0.2556818181818182,0.5099638191148839,0.010218060857010563
Thomas_Cassirer,Thomas_Cassirer,,0,17,9.0,5.960533288988893E-4,0.24351221970269632,0.21739130434782608,0.18621034226901792,0.0024311802088684267
Paul_Hugo_Meyer,Paul_Hugo_Meyer,,0,17,9.0,0.02394682196955207,0.27207608969513747,0.23195876288659795,0.3550472304585287,0.005417920243161612
Wolfgang_Leppmann,Wolfgang_Leppmann,,0,17,8.0,0.003342643539894872,0.2510846560846565,0.21875,0.25165197009986023,0.0032599000749783825
Joachim_Jimmy_Lambek,Joachim_Jimmy_Lambek,,0,17,8.0,0.04269724190137243,0.29742630385487545,0.25609756097560976,0.46653963081740635,0.006289436925429862
Peter_Cahn,Peter_Cahn,,0,17,9.0,0.02086726961801115,0.25424918115394357,0.21875,0.22105793142209626,0.007564938706311514
Ernest_Poser,Ernest_Poser,,0,17,8.0,0.05094848998401318,0.2818178382464101,0.2423076923076923,0.31760506258432486,0.009085123697569962
Claude_Borchard,Claude_Borchard,,0,17,10.0,0.0,0.19655958679768223,0.17958950969213228,0.04353776554172763,0.0012160860755936137
Charles_Cahn,Charles_Cahn,,0,17,9.0,0.0010267526912771132,0.23396573444192564,0.20723684210526316,0.15346881285283653,0.0027148349839813367
Fred_Franklin,Fred_Franklin,,0,17,10.0,0.0,0.19655958679768223,0.17958950969213228,0.04353776554172763,0.0012160860755936137
Tony_Frisch,Tony_Frisch,,0,17,10.0,0.0,0.19655958679768223,0.17958950969213228,0.04353776554172763,0.0012160860755936137
Gerhard_Baum,Gerhard_Baum,,0,17,10.0,0.0,0.19655958679768223,0.17958950969213228,0.04353776554172763,0.0012160860755936137
Arno_Cahn,Arno_Cahn,,0,18,7.0,0.010645111814777633,0.26628873771730993,0.23093841642228738,0.3066598575955426,0.005482104666210007
Klaus_G_Scheye,Klaus_G_Scheye,,0,18,7.0,0.03218007879961613,0.2853287981859414,0.24609375,0.37341973185305066,0.006729583757817978
Edmund_Eddie_Klein,Edmund_Eddie_Klein,,0,18,8.0,0.0014808327918867756,0.23530234315948614,0.2090245520902455,0.1405979503350163,0.0019733794422167644
Armin_Drehsler,Armin_Drehsler,,0,18,8.0,0.0,0.20473544973544994,0.18772348033373062,0.0541980622931909,0.0011889494694369014
Arture_Vivante,Arture_Vivante,,0,18,8.0,0.0,0.20473544973544994,0.18772348033373062,0.0541980622931909,0.0011889494694369014
